LP	Substancja	EAN	Nazwa	Postać	Dawka	Zawartość	Wskazania	Odpłatność	Dopłata
1106	Dexamethasonum	05909991297763	Dexamethasone KRKA	tabletki	20 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	28,44
1107	Dexamethasonum	05909991393984	Dexamethasone Krka	tabletki	4 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	5,69
1108	Dexamethasonum	05909991397319	Dexamethasone Krka	tabletki	4 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	6,33
1109	Dexamethasonum	05909991297480	Dexamethasone KRKA	tabletki	4 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	8,60
1110	Dexamethasonum	05909991297879	Dexamethasone KRKA	tabletki	40 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	56,89
1111	Dexamethasonum	05909991297633	Dexamethasone KRKA	tabletki	8 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	11,38
1112	Dexamethasonum	05904374007854	Pabi-Dexamethason	tabletki	1 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	10,17
1113	Dexamethasonum	05909990170517	Pabi-Dexamethason	tabletki	1 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>nowotwory złośliwe - leczenie wspomagające; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	10,26
1114	Dexamethasonum	05904374007861	Pabi-Dexamethason	tabletki	500 µg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>nowotwory złośliwe - leczenie wspomagające - w przypadkach innych niż określone w ChPL; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	7,09
1115	Dexamethasonum	05909990170418	Pabi-Dexamethason	tabletki	500 µg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>nowotwory złośliwe - leczenie wspomagające; <2>nowotwory złośliwe - premedykacja - w przypadkach innych niż określone w ChPL	ryczałt	7,14
1116	Diazepamum	05909990264018	Relanium	zawiesina doustna	2 mg/5 ml	100 g	Padaczka; 	ryczałt	3,20
1117	Diazepamum	05909990751518	Relsed	mikrowlewka doodbytnicza, roztwór	2 mg/ml	5 wlew.a 2,5 ml	Padaczka; drgawki inne niż określone w ChPL	ryczałt	11,07
1118	Diazepamum	05909990751617	Relsed	mikrowlewka doodbytnicza, roztwór	4 mg/ml	5 wlew.a 2,5 ml	Padaczka; drgawki inne niż określone w ChPL	ryczałt	3,20
1119	Diclofenacum	05909990753024	Diclac	roztwór do wstrzykiwań domięśniowych	75 mg/3 ml	10 amp.po 3 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	8,01
1120	Diclofenacum	05909990753017	Diclac	roztwór do wstrzykiwań domięśniowych	75 mg/3 ml	5 amp.po 3 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	4,31
1121	Diclofenacum	05909990074044	Dicloabak	krople do oczu, roztwór	1 mg/ml	10 ml (but.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
1122	Diclofenacum	05909990752010	DicloDuo	kaps. o zmodyfikowanym uwalnianiu	75 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	8,79
1123	Diclofenacum	05909991026516	Difadol 0.1%	krople do oczu, roztwór	1 mg/ml	5 ml (but.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	4,76
1124	Diclofenacum	05909990145317	Naclof	krople do oczu, roztwór	1 mg/ml	5 ml (but.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,69
1125	Diclofenacum	05909990241910	Naklofen	roztwór do wstrzykiwań	25 mg/ml	5 amp.po 3 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	4,38
1126	Diclofenacum	05909990487714	Naklofen Duo	kaps. o zmodyfikowanym uwalnianiu	75 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	5,39
1127	Diclofenacum	05909990974122	Olfen 75 SR	tabl. powl. o przedłużonym uwalnianiu	75 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	9,30
1128	Diclofenacum	05909990457120	Olfen Uno	tabl. o zmodyfikowanym uwalnianiu	150 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	11,34
1129	Diclofenacum	05909990457137	Olfen UNO	tabl. o zmodyfikowanym uwalnianiu	150 mg	60 szt. (6 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	15,68
1130	Diclofenacum + Lidocainum	05909990413829	Dicloratio	roztwór do wstrzykiwań	(75+20) mg/2 ml	3 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	2,88
1131	Diclofenacum + Lidocainum	05909990161119	Olfen 75	roztwór do wstrzykiwań	(37.5+10) mg/ml	5 amp.po 2 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	9,65
1132	Diclofenacum natricum	05909990033614	Majamil prolongatum	tabl. o przedłużonym uwalnianiu	100 mg	20 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	50%	4,07
1133	Dienogest	05909991405120	Diemono	tabletki powlekane	2 mg	28 szt.	Endometrioza; 	ryczałt	5,16
1134	Dienogestum	05901797710804	Endofemine	tabletki	2 mg	28 szt.	Endometrioza; 	ryczałt	3,20
1135	Dienogestum	05909991398569	Endovelle	tabletki	2 mg	28 szt.	Endometrioza; 	ryczałt	3,77
1136	Dienogestum	05909991398576	Endovelle	tabletki	2 mg	84 szt.	Endometrioza; 	ryczałt	8,96
1137	Dienogestum	05909991396978	Probella	tabletki	2 mg	28 szt.	Endometrioza; 	ryczałt	5,12
1138	Dienogestum	05909991392871	Symdieno	tabletki powlekane	2 mg	28 szt.	Endometrioza; 	ryczałt	3,20
1139	Dienogestum	05909990776962	Visanne	tabletki	2 mg	28 szt.	Endometrioza; 	ryczałt	87,97
1140	Dienogestum	05907594032552	Zafrilla	tabletki	2 mg	28 szt.	Endometrioza; 	ryczałt	3,20
1141	Dihydrocodeinum	05909990217045	DHC Continus	tabl. o zmodyfikowanym uwalnianiu	60 mg	60 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	30%	12,96
1142	Dihydrocodeinum	05909990217045	DHC Continus	tabl. o zmodyfikowanym uwalnianiu	60 mg	60 szt.	Nowotwory złośliwe; 	bezpłatny do limitu	0,00
1143	Dihydrocodeinum	05909990217069	DHC Continus	tabl. o zmodyfikowanym uwalnianiu	90 mg	60 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	30%	22,58
1144	Dihydrocodeinum	05909990217069	DHC Continus	tabl. o zmodyfikowanym uwalnianiu	90 mg	60 szt.	Nowotwory złośliwe; 	bezpłatny do limitu	3,13
1145	Diltiazemum	05909990482917	Dilzem 120 retard	tabl. o przedłużonym uwalnianiu	120 mg	30 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,78
1146	Diltiazemum	05909990483310	Dilzem 180 retard	tabl. o przedłużonym uwalnianiu	180 mg	30 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,52
1147	Diltiazemum	05909990213214	Dilzem retard	tabl. o przedłużonym uwalnianiu	90 mg	30 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	4,84
1148	Diltiazemum	05909990112616	Oxycardil 120	tabl. powl. o przedłużonym uwalnianiu	120 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,64
1149	Diltiazemum	05909990416318	Oxycardil 180	tabl. powl. o przedłużonym uwalnianiu	180 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,44
1150	Diltiazemum	05909990121120	Oxycardil 60	tabletki powlekane	60 mg	60 szt. (6 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
1151	Dinatrii pamidronas	05909990661671	Pamifos-30	proszek i rozpuszczalnik do sporządzania roztworu do infuzji	30 mg	2 fiol. z prosz.po 30 mg + 2 amp.po 10 ml	Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych; 	ryczałt	7,48
1152	Dinatrii pamidronas	05909990661688	Pamifos-60	proszek i rozpuszczalnik do sporządzania roztworu do infuzji	60 mg	1 fiol. z prosz.po 60 mg + 1 amp.po 10 ml	Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych; 	ryczałt	7,48
1153	Dinatrii pamidronas	05909990661695	Pamifos-90	proszek i rozpuszczalnik do sporządzania roztworu do infuzji	90 mg	1 fiol. z prosz.po 90 mg + 1 amp.po 10 ml	Nowotwory złośliwe - Przerzuty osteolityczne w chorobach nowotworowych; 	ryczałt	3,20
1154	Donepezil hydrochloride	05909991024420	Cogiton 10	tabletki powlekane	10 mg	56 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	21,58
1155	Donepezil hydrochloride	05907695215380	Cogiton 10	tabletki powlekane	10 mg	84 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	31,56
1156	Donepezili hydrochloridum	05909991344481	Donecept	tabletki powlekane	10 mg	28 tabl.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	8,37
1157	Donepezili hydrochloridum	05909990683666	Donectil	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	10,92
1158	Donepezili hydrochloridum	05909990683581	Donectil	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	7,59
1159	Donepezili hydrochloridum	05909990877669	Donepezil Polfarmex	tabletki	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	13,15
1160	Donepezili hydrochloridum	05909990877553	Donepezil Polfarmex	tabletki	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	7,88
1161	Donepezili hydrochloridum	05909991403560	Memorion	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	9,87
1162	Donepezili hydrochloridum	05909991398842	Memorion	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	5,32
1163	Donepezili hydrochloridum	05909991275778	Symepezil	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	10,58
1164	Donepezili hydrochloridum	05909991275747	Symepezil	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	5,89
1165	Donepezilum	05909990770045	Apo-Doperil	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,97
1166	Donepezilum	05902020661474	Apo-Doperil	tabletki powlekane	10 mg	98 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	27,74
1167	Donepezilum	05909990770038	Apo-Doperil	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,29
1168	Donepezilum	05909991024413	Cogiton 10	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	17,50
1169	Donepezilum	05909991024314	Cogiton 5	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,56
1170	Donepezilum	05909990689873	Donecept	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	13,42
1171	Donepezilum	05909990689781	Donecept	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	7,31
1172	Donepezilum	05909990851492	Donectil ODT	tabl. ulegające rozpadowi w jamie ustnej	10 mg	30 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,22
1173	Donepezilum	05909991056018	Donepex	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	10,92
1174	Donepezilum	05909991055912	Donepex	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	6,45
1175	Donepezilum	05909990814138	Donepezil Bluefish	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	8,00
1176	Donepezilum	05909990814077	Donepezil Bluefish	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	4,30
1177	Donepezilum	05909990776900	Doneprion	tabletki powlekane	10 mg	28 tabl.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	10,58
1178	Donepezilum	05909990776870	Doneprion	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	7,59
1179	Donepezilum	05909990657360	Donesyn	tabletki powlekane	10 mg	28 szt. (2 blist.po 14 szt.)	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,01
1180	Donepezilum	05909990657353	Donesyn	tabletki powlekane	5 mg	28 szt. (2 blist.po 14 szt.)	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	7,59
1181	Donepezilum	05909990726936	Pamigen	tabletki powlekane	10 mg	28 szt. (2 blist.po 14 szt.)	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,06
1182	Donepezilum	05909990726929	Pamigen	tabletki powlekane	5 mg	28 szt. (2 blist.po 14 szt.)	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	7,02
1183	Donepezilum	05909990798940	Ricordo	tabl. ulegające rozpadowi w jamie ustnej	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	13,42
1184	Donepezilum	05909990798933	Ricordo	tabl. ulegające rozpadowi w jamie ustnej	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	14,27
1185	Donepezilum	05909990993314	Yasnal	tabletki powlekane	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,63
1186	Donepezilum	05909990993215	Yasnal	tabletki powlekane	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,80
1187	Donepezilum	05909990850204	Yasnal Q-Tab	tabl. ulegające rozpadowi w jamie ustnej	10 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,63
1188	Donepezilum	05909990850075	Yasnal Q-Tab	tabl. ulegające rozpadowi w jamie ustnej	5 mg	28 szt.	Choroba Alzheimera; otępienie z ciałami Lewy'ego; otępienie w przebiegu choroby Parkinsona	30%	12,80
1189	Dornasum alfa	05909990375813	Pulmozyme	roztwór do nebulizacji	1 mg/ml	30 amp.a 2,5 ml	Mukowiscydoza; pierwotna dyskineza rzęsek	ryczałt	3,20
1190	Dorzolamidum	05909990880591	Dorzolamid STADA	krople do oczu, roztwór	20 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	6,72
1191	Dorzolamidum	05909991234904	Dorzoma Mono	krople do oczu, roztwór	20 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	6,67
1192	Dorzolamidum	05909990838325	Dropzol	krople do oczu, roztwór	20 mg/ml	1 but.	Jaskra; 	ryczałt	7,35
1193	Dorzolamidum	05909991344306	Nodofree	krople do oczu, roztwór	20 mg/ml	1 butelka 5 ml	Jaskra; 	ryczałt	6,70
1194	Dorzolamidum	05909991344313	Nodofree	krople do oczu, roztwór	20 mg/ml	3 butelki 5 ml	Jaskra; 	ryczałt	11,89
1195	Dorzolamidum	05909990942855	Nodom	krople do oczu, roztwór	20 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	9,73
1196	Dorzolamidum	05900257101015	Nodom	krople do oczu, roztwór	20 mg/ml	3 butelki po 5 ml	Jaskra; 	ryczałt	11,90
1197	Dorzolamidum	05909990643929	Rozalin	krople do oczu, roztwór	20 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	11,43
1198	Dorzolamidum	05906414000962	Rozalin	krople do oczu, roztwór	20 mg/ml	3 x 5 ml	Jaskra; 	ryczałt	13,32
1199	Dorzolamidum	05909990661329	Trusopt	krople do oczu, roztwór	20 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	8,67
1200	Dorzolamidum	05909991310936	Vizidor	krople do oczu	20 mg/ml	1 butelka po 5 ml	Jaskra; 	ryczałt	6,67
1201	Dorzolamidum	05909991310943	Vizidor	krople do oczu	20 mg/ml	3 butelki po 5 ml	Jaskra; 	ryczałt	11,74
1202	Dorzolamidum + Timololum	05909990442423	Cosopt	krople do oczu, roztwór	20+5 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	12,01
1203	Dorzolamidum + Timololum	05909990898305	Dropzol Tim	krople do oczu, roztwór	20+5 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	5,14
1204	Dorzolamidum + Timololum	05909991340674	Nodofree Combi	krople do oczu, roztwór	20+5 mg/ml	1 but. po 5 ml	Jaskra; 	ryczałt	5,14
1205	Dorzolamidum + Timololum	05909991340681	Nodofree Combi	krople do oczu, roztwór	20+5 mg/ml	3 but. po 5 ml	Jaskra; 	ryczałt	8,00
1206	Dorzolamidum + Timololum	05909991067267	Nodom Combi	krople do oczu, roztwór	20+5 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	9,01
1207	Dorzolamidum + Timololum	05909991067274	Nodom Combi	krople do oczu, roztwór	20+5 mg/ml	3 but.po 5 ml	Jaskra; 	ryczałt	8,00
1208	Dorzolamidum + Timololum	05909990866144	Oftidorix	krople do oczu, roztwór	20+5 mg/ml	5 ml	Jaskra; 	ryczałt	5,28
1209	Dorzolamidum + Timololum	05909990746705	Rozacom	krople do oczu, roztwór	20+5 mg/ml	1 but.po 5 ml	Jaskra; 	ryczałt	10,02
1210	Dorzolamidum + Timololum	05906414000955	Rozacom	krople do oczu, roztwór	20+5 mg/ml	3 x 5 ml w butelce	Jaskra; 	ryczałt	8,00
1211	Dorzolamidum + Timololum	05909991311049	Vizidor Duo	krople do oczu	20 + 5  mg/ml	1 butelka po 5 ml	Jaskra; 	ryczałt	5,12
1212	Dorzolamidum + Timololum	05909991311056	Vizidor Duo	krople do oczu	20 + 5  mg/ml	3 butelki po 5 ml	Jaskra; 	ryczałt	8,00
1213	Doxazosini mesilas	05909991305291	Doxazosin Aurovitas	tabletki	2 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	3,20
1214	Doxazosini mesilas	05909991305291	Doxazosin Aurovitas	tabletki	2 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia; neurogenna dysfunkcja pęcherza u dzieci do 18 roku życia; nieneurogenna dysfunkcja pęcherza u dzieci do 18 roku życia	30%	2,57
1215	Doxazosini mesilas	05909991305420	Doxazosin Aurovitas	tabletki	4 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	3,20
1216	Doxazosini mesilas	05909991305420	Doxazosin Aurovitas	tabletki	4 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	4,72
1217	Doxazosinum	05909990901890	Adadox	tabletki	2 mg	30 tabl.	Przerost gruczołu krokowego; 	ryczałt	3,20
1218	Doxazosinum	05909990901890	Adadox	tabletki	2 mg	30 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia; neurogenna dysfunkcja pęcherza u dzieci do 18 roku życia; nieneurogenna dysfunkcja pęcherza u dzieci do 18 roku życia	30%	2,79
1219	Doxazosinum	05909990902255	Adadox	tabletki	4 mg	30 tabl.	Przerost gruczołu krokowego; 	ryczałt	3,20
1220	Doxazosinum	05909990902255	Adadox	tabletki	4 mg	30 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	5,16
1221	Doxazosinum	05909990902293	Adadox	tabletki	4 mg	90 tabl.	Przerost gruczołu krokowego; 	ryczałt	9,60
1222	Doxazosinum	05909990902293	Adadox	tabletki	4 mg	90 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	13,77
1223	Doxazosinum	05909990969517	Apo-Doxan 1	tabletki	1 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	10,61
1224	Doxazosinum	05909990969517	Apo-Doxan 1	tabletki	1 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia; neurogenna dysfunkcja pęcherza u dzieci do 18 roku życia; nieneurogenna dysfunkcja pęcherza u dzieci do 18 roku życia	30%	9,08
1225	Doxazosinum	05909990969616	Apo-Doxan 2	tabletki	2 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	12,41
1226	Doxazosinum	05909990969616	Apo-Doxan 2	tabletki	2 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia; neurogenna dysfunkcja pęcherza u dzieci do 18 roku życia; nieneurogenna dysfunkcja pęcherza u dzieci do 18 roku życia	30%	12,55
1227	Doxazosinum	05909990969715	Apo-Doxan 4	tabletki	4 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	8,19
1228	Doxazosinum	05909990969715	Apo-Doxan 4	tabletki	4 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	11,68
1229	Doxazosinum	05909991271367	Apo-Doxan 4	tabletki	4 mg	60 szt.	Przerost gruczołu krokowego; 	ryczałt	7,93
1230	Doxazosinum	05909991271367	Apo-Doxan 4	tabletki	4 mg	60 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	14,90
1231	Doxazosinum	05909990431410	Cardura XL	tabl. o zmodyfikowanym uwalnianiu	4 mg	30 tabl.	Przerost gruczołu krokowego; 	ryczałt	6,83
1232	Doxazosinum	05909990431410	Cardura XL	tabl. o zmodyfikowanym uwalnianiu	4 mg	30 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	10,32
1233	Doxazosinum	05909990431519	Cardura XL	tabl. o zmodyfikowanym uwalnianiu	8 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	16,65
1234	Doxazosinum	05909990431519	Cardura XL	tabl. o zmodyfikowanym uwalnianiu	8 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	23,62
1235	Doxazosinum	05909990037957	Doxagen	tabl. o przedłużonym uwalnianiu	4 mg	30 szt. (3 blist.po 10 szt.)	Przerost gruczołu krokowego; 	ryczałt	5,24
1236	Doxazosinum	05909990037957	Doxagen	tabl. o przedłużonym uwalnianiu	4 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	8,73
1237	Doxazosinum	05909990790951	Doxalong / Doxar XL	tabl. o przedłużonym uwalnianiu	4 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	6,27
1238	Doxazosinum	05909990790951	Doxalong / Doxar XL	tabl. o przedłużonym uwalnianiu	4 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	9,76
1239	Doxazosinum	05909990884582	Doxalong / Doxar XL	tabl. o przedłużonym uwalnianiu	4 mg	90 szt.	Przerost gruczołu krokowego; 	ryczałt	13,13
1240	Doxazosinum	05909990884582	Doxalong / Doxar XL	tabl. o przedłużonym uwalnianiu	4 mg	90 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia	30%	23,59
1241	Doxazosinum	05909990854318	Doxanorm	tabletki	1 mg	30 szt. (3 blist.po 10 szt.)	Przerost gruczołu krokowego; 	ryczałt	11,99
1242	Doxazosinum	05909990854318	Doxanorm	tabletki	1 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; przewlekła choroba nerek u dzieci do 18 roku życia; neurogenna dysfunkcja pęcherza u dzieci do 18 roku życia; nieneurogenna dysfunkcja pęcherza u dzieci do 18 roku życia	30%	10,46
